date,agent_equity,agent_return,spy_equity,spy_return,cash,costs,trades,active_positions,latest_weights,agent_drawdown,spy_drawdown
2024-05-01,999.1,-0.0009000000000000119,997.9456724056286,-0.002054327594371408,99.10000000000002,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",0.0,0.0
2024-05-02,997.143295388306,-0.002856704611693961,1007.2798952110934,0.00727989521109329,99.10000000000002,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",-0.001958467232203054,0.0
2024-05-03,996.8694312407877,-0.00313056875921236,1019.7654544768407,0.019765454476840638,99.10000000000002,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",-0.002232578079483849,0.0
2024-05-06,1003.0890732179528,0.003089073217952709,1030.2963865600436,0.03029638656004363,99.10000000000002,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",0.0,0.0
2024-05-07,1010.8153686319314,0.010815368631931443,1031.4332634172529,0.031433263417252943,99.10000000000002,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",0.0,0.0
2024-05-08,1011.2354442468692,0.011235444246869175,1031.5329638290802,0.03153296382908022,99.10000000000002,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",0.0,0.0
2024-05-09,1017.7082209486284,0.01770822094862834,1037.4765204921475,0.03747652049214745,99.10000000000002,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",0.0,0.0
2024-05-10,1019.2779601540116,0.01927796015401162,1038.8129199073358,0.03881291990733571,99.10000000000002,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",0.0,0.0
2024-05-13,1018.8212694700416,0.01882126947004159,1038.9524274432993,0.0389524274432993,99.10000000000002,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",-0.0004480531335152582,0.0
2024-05-14,1014.9698172619164,0.014969817261916374,1043.7193001250212,0.04371930012502112,99.10000000000002,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",-0.0042266614804897795,0.0
2024-05-15,1026.382838208307,0.026382838208307113,1056.6437116308625,0.05664371163086246,99.10000000000002,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",0.0,0.0
2024-05-16,1025.0046864075232,0.02500468640752329,1054.4696583282712,0.05446965832827111,99.10000000000002,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",-0.0013427268553998228,-0.002057508390634233
2024-05-17,1029.0870643927083,0.02908706439270836,1055.9854941378835,0.05598549413788345,99.10000000000002,0.9,5,5,"{'V': 0.215309, 'MA': 0.187895, 'MRK': 0.172679, 'XOM': 0.162389, 'JNJ': 0.161728}",0.0,-0.0006229322956582406
