trade_date,agent,starting_capital,ending_value,profit_loss,gross_return,transaction_cost_dollars,net_return,invested_weight,cash_weight,holdings,best_ticker,best_ticker_return,worst_ticker,worst_ticker_return,missing_tickers
2026-05-15,CumulativeOptionsContextAgent,100.0,99.88269861532315,-0.11730138467684981,-0.0002730138467685235,0.09,-0.0011730138467685234,0.8999999999999999,0.10000000000000009,5,AAPL,0.007821474110715876,AMD,-0.021322726525271563,
2026-05-15,RandomAgent,100.0,99.72583481427723,-0.27416518572276516,-0.0017416518572276733,0.09999999999999998,-0.002741651857227673,0.9999999999999999,1.1102230246251565e-16,5,PLTR,0.008960861551655652,MRK,-0.02212470797806243,
2026-05-15,MetaConsensusAgent,100.0,99.65750398588594,-0.3424960141140616,-0.0025249601411405885,0.09,-0.0034249601411405883,0.8999999999999999,0.10000000000000009,5,AMZN,0.006247674851190377,AMD,-0.021322726525271563,
2026-05-15,SPY_Benchmark,100.0,99.54680095514973,-0.4531990448502654,-0.003531990448502609,0.1,-0.004531990448502609,1.0,0.0,1,SPY,-0.003531990448502609,SPY,-0.003531990448502609,
2026-05-15,DiversifiedContextAgent,100.0,99.53680764068142,-0.46319235931858316,-0.003781923593185882,0.085,-0.004631923593185882,0.8500000000000001,0.1499999999999999,5,AMZN,0.006247674851190377,WMT,-0.016755220676623273,
2026-05-15,MeanReversionAgent,100.0,99.42879660255419,-0.5712033974458137,-0.004862033974458186,0.085,-0.005712033974458186,0.8500000000000001,0.1499999999999999,5,BAC,0.003023005423374192,PFE,-0.016310682574522173,
2026-05-15,FundamentalQualityAgent,100.0,99.2973040883857,-0.702695911614299,-0.0060269591161430155,0.1,-0.0070269591161430155,1.0,0.0,5,PLTR,0.008960861551655652,AMD,-0.021322726525271563,
2026-05-15,RiskManagedAgent,100.0,99.24443813397366,-0.7555618660263406,-0.006709126660263484,0.08464920000000001,-0.007555618660263484,0.846492,0.15350799999999998,4,QQQ,-0.0017039202800807063,NVDA,-0.019324457210870505,
2026-05-15,BlendedAIAgent,100.0,99.10961387995327,-0.8903861200467276,-0.00790386120046722,0.1,-0.008903861200467222,1.0,0.0,5,GOOGL,0.001160656657693826,NVDA,-0.019324457210870505,
2026-05-15,ITContextAgent,100.0,99.02312344624102,-0.9768765537589843,-0.008868765537589862,0.09,-0.009768765537589862,0.8999999999999999,0.10000000000000009,5,AAPL,0.007821474110715876,AMD,-0.021322726525271563,
2026-05-15,MomentumAgent,100.0,98.73532779282138,-1.26467220717862,-0.011646722071786143,0.1,-0.012646722071786142,1.0,0.0,5,GOOGL,0.001160656657693826,AMD,-0.021322726525271563,
2026-05-15,HealthCareContextAgent,100.0,98.72692208240382,-1.2730779175961828,-0.01188077917596186,0.085,-0.01273077917596186,0.8500000000000001,0.1499999999999999,5,UNH,-0.0011412165949378217,MRK,-0.02212470797806243,
